obj_id,object_name,source,label,label_source,period,duration,depth,stellar_radius,stellar_mass,stellar_mag
4072526,K01329.01,KOI,1.0,CONFIRMED,33.1996355,5.022,1110.0,0.88,0.819,15.03
4072955,K03041.01,KOI,1.0,CANDIDATE,5.08288076,2.515,108.0,1.083,1.011,14.207
4073017,K07681.01,KOI,1.0,CANDIDATE,6.05552018,2.818,135.0,0.805,0.919,14.772
4073089,K07682.01,KOI,0.0,FALSE POSITIVE,58.873429,17.487,226000.0,1.568,1.401,14.048
407313319,407313319,TOI,1.0,PC,7.0423707,2.687,5890.0,1.88,0.974,12.636
4073707,K03525.01,KOI,0.0,FALSE POSITIVE,6.282033445,8.3777,182000.0,0.976,0.979,14.118
4073730,K03785.01,KOI,0.0,FALSE POSITIVE,6.2820426,7.941,1410.0,3.798,1.705,11.059
407394748,407394748,TOI,0.0,FP,0.7522775,1.073,1301.0,1.77,0.974,9.5287
4074294,K07547.01,KOI,0.0,FALSE POSITIVE,0.892988877,2.4428,85.0,2.975,1.504,13.013
4074736,K01328.01,KOI,1.0,CANDIDATE,80.9669561,2.5276,4730.0,0.737,0.824,15.671
407495930,407495930,TOI,1.0,PC,3.0269043,3.819,7120.0,1.67,0.974,12.9255
4075015,K02850.01,KOI,0.0,FALSE POSITIVE,1.11431205,2.112,160.0,0.849,0.939,15.411
4075064,K06383.01,KOI,0.0,FALSE POSITIVE,61.42252657,3.76585,338000.0,0.613,0.665,14.951
4075067,K03777.01,KOI,1.0,CANDIDATE,17.7476059,5.066,877.0,4.832,2.922,11.5
407517154,407517154,TOI,1.0,PC,25.8866192,3.737,13915.0,0.8,0.974,13.2114
4076061,K06384.01,KOI,1.0,CANDIDATE,566.28176,20.39,1200.0,0.802,0.879,15.992
4076098,K01323.01,KOI,1.0,CONFIRMED,3.990105908,2.4108,6150.0,0.913,1.004,15.572
407653728,407653728,TOI,1.0,PC,3.2520192,3.491,9420.0,1.28,0.974,13.0091
407658979,407658979,TOI,1.0,PC,8.084554,1.991,6180.0,1.15,0.974,12.1357
407694390,407694390,TOI,1.0,PC,3.6691817,2.112,9890.0,1.077,0.974,13.2036
4076952,K06385.01,KOI,0.0,FALSE POSITIVE,9.761172507,11.4007,206000.0,2.048,1.196,13.773
4076976,K03124.01,KOI,0.0,FALSE POSITIVE,4.8807805,9.4,79.0,0.516,0.53,14.203
4077252,K05038.01,KOI,0.0,FALSE POSITIVE,0.534109403,0.9513,78.3,2.432,2.718,12.314
4077526,K01336.01,KOI,1.0,CONFIRMED,10.21864532,3.802,445.0,1.083,1.017,14.82
407772585,407772585,TOI,1.0,PC,3.0537856,1.731,12440.0,1.46,0.974,12.2415
